from,to,position,confidence_before,confidence_after
2,0,1355,0.9999999999919176,1.0
0,2,1357,0.9999999999999951,0.9999873511690651
2,1,1367,0.9999999511614396,0.9999999999996918
1,2,1368,0.9999999999996918,0.9999996787828512
2,0,1382,0.9999999981838457,1.0
0,2,1383,1.0,0.9999999978053928
2,1,1408,0.9999999757528076,1.0
1,2,1409,1.0,0.9999999990933599
2,0,1416,0.9999999954804082,1.0
0,2,1417,1.0,0.9999998737372815
2,1,1422,0.999999999991795,0.9999999999999831
1,2,1425,1.0,0.999999999972454
2,1,1449,0.9999999995500524,0.9999883201394313
1,2,1450,0.9999883201394313,0.9999999999118732
2,1,1451,0.9999999999118732,1.0
1,2,1452,1.0,0.9999999793930565
2,0,1469,0.999999950146376,1.0
0,2,1470,1.0,0.9999558061584355
2,0,1471,0.9999558061584355,1.0
0,2,1472,1.0,0.9999999982935854
2,0,1497,0.999999733607492,1.0
0,2,1498,1.0,0.9999999989031281
2,1,1502,0.9999952844683849,1.0
1,2,1503,1.0,0.9999998884643118
2,1,1510,0.9880804500146046,0.9999999999204015
1,2,1511,0.9999999999204015,0.9999999983816075
2,1,1513,0.9999999972276115,0.9999908314871913
1,2,1514,0.9999908314871913,0.9997399399684161
2,1,1516,0.9999999999998392,1.0
1,2,1518,0.996453273127667,0.9999594465749387
2,1,1528,0.9989000905735574,0.9999999999209441
1,2,1529,0.9999999999209441,0.9999999999999725
2,0,1546,0.9999715661836972,1.0
0,2,1547,1.0,0.9999840237132939
2,1,1551,0.9999999387851785,0.9999999885366774
1,2,1552,0.9999999885366774,0.9999357407721232
2,3,1564,0.9999999975856291,1.0
3,2,1565,1.0,0.9999999974957205
2,1,1570,0.9999995964672334,0.999999999174026
1,2,1571,0.999999999174026,0.9998980534872999
2,1,1574,0.9999699924934214,1.0
1,2,1575,1.0,0.9999999998062847
2,0,1581,0.9999959550083117,1.0
0,2,1582,1.0,0.999999999941183
2,1,1593,0.9999976072033611,0.9999999995783817
1,2,1594,0.9999999995783817,0.9999999984478531
2,3,1605,0.9999032130213029,1.0
3,2,1607,1.0,0.999994959523106
2,1,1615,0.9998826382995116,0.9999999987537045
1,2,1616,0.9999999987537045,0.999997000087417
2,1,1617,0.999997000087417,0.999998530218214
1,2,1618,0.999998530218214,0.9997118104130671
2,0,1624,0.9999994157320363,1.0
0,2,1625,1.0,0.9988986867327678
2,1,1629,0.9999999989056878,0.9999999999999698
1,2,1630,0.9999999999999698,0.9833231003866899
2,0,1638,0.9999999979042364,1.0
0,2,1639,1.0,0.9999316719625567
2,0,1644,0.9999999990468051,1.0
0,2,1645,1.0,0.9999999909404318
2,1,1650,0.999993864125751,0.9999999669731464
1,2,1651,0.9999999669731464,0.9999999992584634
2,1,1653,0.9999999999112443,0.999999989783781
1,2,1654,0.999999989783781,0.9999999116655974
2,1,1680,0.9999999483366024,0.9999999979555465
1,2,1681,0.9999999979555465,0.9999965131597083
2,0,1690,0.999999970072619,1.0
0,2,1691,1.0,0.9999999997049684
2,3,1693,0.9999999956038668,1.0
3,2,1694,1.0,0.9480201966160203
2,1,1696,0.9999885255936573,0.9999999999969607
1,2,1697,0.9999999999969607,0.9999899840136197
2,1,1726,0.9999987543194435,0.9999999999999982
1,2,1727,0.9999999999999982,0.9999999992549213
2,1,1731,0.9999230516261842,0.9999999890879164
1,2,1732,0.9999999890879164,0.9999991589295603
2,1,1734,0.9999999830176202,0.9987165085793069
1,2,1735,0.9987165085793069,0.9999967393818611
2,1,1742,0.9999985446409955,0.9999999999838209
1,2,1743,0.9999999999838209,0.9999999996039008
2,1,1754,0.9999999871333572,0.9999999999999947
1,2,1755,0.9999999999999947,0.9999973526550251
2,1,1757,0.9999905613910371,0.9999345355277587
1,2,1758,0.9999345355277587,0.9999999996228688
2,0,1770,0.9999992812120223,1.0
0,2,1771,1.0,0.9999999985973496
2,3,1776,0.9999999813328364,1.0
3,2,1777,1.0,0.9999999958412431
2,1,1778,0.9999999958412431,1.0
1,2,1779,1.0,0.9995563776571645
2,1,1787,0.9999999996181828,0.999999999999984
1,2,1788,0.999999999999984,0.9999999137786163
2,1,1789,0.9999999137786163,0.999999999965373
1,0,1790,0.999999999965373,1.0
0,2,1791,1.0,0.9999624232749467
2,3,1798,0.9999999985046646,1.0
3,2,1799,1.0,0.9999999323216914
2,1,1813,0.9999837792769316,0.9999999999352776
1,0,1814,0.9999999999352776,1.0
0,2,1815,1.0,0.9999999999611511
2,1,1823,0.9999999997752482,0.9028575906410491
1,2,1825,0.9999994536739472,0.9999999994577706
2,1,1840,0.9999980152858874,0.9999996385225578
1,2,1841,0.9999996385225578,0.999999994326668
2,1,1850,0.999982241904425,1.0
1,2,1851,1.0,0.9999983175609279
2,1,1856,0.9999999917602409,0.9999999995368611
1,2,1857,0.9999999995368611,0.9999777107122944
2,1,1860,0.9999999999936087,0.9999999999996394
1,2,1861,0.9999999999996394,0.9999297933606273
2,1,1865,0.93476449346705,0.9999999999999982
1,2,1867,1.0,0.9999959729227911
2,3,1880,0.9999999956280483,1.0
3,2,1881,1.0,0.9999999963376531
2,1,1890,0.9999999878385212,0.9999999991101411
1,2,1891,0.9999999991101411,0.9999997568640826
2,1,1900,0.9999999999379323,0.9999999999929408
1,0,1901,0.9999999999929408,1.0
0,2,1902,1.0,0.9999999900661258
2,1,1908,0.9999998505922912,0.9999999999974118
1,2,1909,0.9999999999974118,0.9999996132676243
2,1,1911,0.9999999995843947,0.9999999999999982
1,2,1912,0.9999999999999982,0.9996655353753464
2,3,1920,0.9999857774419987,1.0
3,2,1922,1.0,0.9999999938652397
2,1,1939,0.9999999972085547,0.9999999998024585
1,2,1940,0.9999999998024585,0.9999832636249688
2,1,1943,0.8616005866556373,0.9999171204856772
1,2,1944,0.9999171204856772,0.9999999966842843
2,1,1952,0.9999999919401539,0.999999999999762
1,2,1954,1.0,0.9999993881676328
2,1,1961,0.999999998028148,0.9999999918127616
1,2,1962,0.9999999918127616,0.9999996305447166
2,1,1975,0.9999999812123372,0.9999999999975877
1,2,1976,0.9999999999975877,0.9999999933986672
2,0,1982,0.9999999778056188,1.0
0,2,1983,1.0,0.9999999953792589
2,1,1984,0.9999999953792589,1.0
1,2,1986,0.9999999999413518,0.9999999994028794
2,1,1990,0.9999935869513236,0.999999999999293
1,2,1991,0.999999999999293,0.9997672299379242
2,1,1994,0.9999738887483898,0.9999999960837052
1,2,1995,0.9999999960837052,0.9999999925717411
2,1,1998,0.9999999960389232,0.9999999964878583
1,2,2000,0.9999993873572663,0.9999999994534026
2,1,2028,0.9999999999972475,0.9999999999999973
1,2,2030,1.0,0.999999479498531
2,1,2034,0.9999999812178262,0.9999999981793879
1,2,2035,0.9999999981793879,0.9999999912090942
2,0,2037,0.9999999999956621,1.0
0,2,2038,1.0,0.9999955069309939
2,0,2053,0.9999999989373958,1.0
0,1,2054,1.0,1.0
1,2,2055,1.0,0.9999999873721565
2,1,2057,0.9999999985022647,1.0
1,2,2058,1.0,0.9999999975721625
2,0,2062,0.9999989488213306,1.0
0,2,2063,1.0,0.9999998311097933
2,1,2069,0.9999992488666806,1.0
1,2,2070,1.0,0.9995593308999016
2,0,2117,0.9999967752841812,1.0
